	835
niu2	8
siap8	1
niu5	26
niu4	15
qe2	81
Ten1	14
Obamae5	1
It7	69
TAIWAN	2
hiu5	2
sing1	858
Piann5	1
gim1K	1
hiu1	55
hiu3	4
riok6	31
bi5	1
qim5	3
zin	1
kau4	168
kau1	7
Hiap6	13
kau3	46
din1	7
din2	51
din3	37
sit7	227
din5	20
Qen5	2
lorh6	286
den4	171
den5	19
Hang5	16
den1	36
den2	218
ciann3	7
bor4	254
ku	6
hun	2
Jonathan	1
ki	1
hing5	610
giok7	11
gim1	270
gim3	19
gim4	5
het7	8
duah6	1
duinn2	13
penn5	1
dan1	97
dan2	161
dan3	48
dan4	44
dan5	119
dinn	1
zok7	240
zok6	40
ciann5	1
bau4	2
ding	1
Zo4	13
Zo1	3
Beh7	17
dai1	12
(dai2	2
tau	2
a1？	2
zi1	338
zi3	242
zi2	1
zi5	1
zi4	482
heh7	2
duat6	16
Tiok7	3
Viau5	27
Kor1	34
vu4	126
Qiap6	20
lak7	57
lak6	357
ciu4	268
ciu5	3
Bet6	2
hue5	129
Cat7	13
ciu1	19
ciu2	28
chocolate	2
Bush	6
Nqa4	2
Suinn3	1
Ziann5	1
ting2	1
qo2	508
Ziann1	1
qo5	1
Ang5	33
ting3	2
cinnn2	1
Bottino	2
Ciong1	3
lik7	2
lik6	323
kut7	16
gogk7	1
lik8	1
suinn3	24
suinn1	3
ai3	303
Qan5	2
ai1	17
Qan2	12
hiap6	91
ai5	1
Za1	11
an3	319
Hok7	22
Hok6	4
vin2siang2	1
Za4	2
zui41	1
Obama	41
ciorh7	33
Masakizai1	1
zui4	382
Di5	9
tng3	30
mi2	32
Mail	1
sak6cut7	1
Sun5	7
di2sann1	1
Hua5	40
suah	2
Cui3	5
lai	1
binn5	1
ge7	1
Hawaii1	2
Zip6	8
ve2	450
ve5	34
ve4	153
qa4	24
binn2	2
e5niau1	1
Ai3zu2	1
pang4	7
pang5	9
pang2	4
binn1	113
pang1	47
Long	1
qiu4	39
Pell	2
Na'vi	1
Taro	1
Tan5	18
cue1	16
cue2	79
cue4	2
Claiborne	2
cue7	1
ge1	323
dang	1
benn1	2
la3	4
la2	17
la1	8
gi3	345
riang4	2
e5．sik6	1
sua4	8
gi4	171
LED	2
sua1	45
sua3	48
cang1cing1	1
Carter	1
Gong5	1
vun2	161
din4	10
Gong4	12
ne	1
sit6	283
tai	1
Lin4	1
zo7	1
ban2？	2
Qen4	5
M2	29
Chong5	1
Leach	1
ziah8	1
ziah6	159
sai1	32
sai2	6
sai3	114
sai4	158
niau1	8
den7	1
Dui2	6
niau4	6
it7de2	1
hong1pann3	1
Ciunn4	4
Ciunn2	3
Ciunn3	2
siam4	26
siam5	3
diann2cut7	1
siam3	2
nqo2	20
ne1	100
ten5	1
ten1	52
Hyakuri	2
gan1	295
Opel	6
gan3	16
Belgian	1
gan4	28
luan4	33
luan5	3
gun5	53
giong2	73
giong1	112
Clinton	15
gun1	192
gor5	9
giong5	165
giong4	3
gor4	182
sim1．dai5	2
Zue3	15
Zue2	2
F	12
Pelosi	3
Ga	1
ling2	116
giann2hinn2	1
ling1	43
ling4	89
ling5	299
Dow	1
tenn	1
rior2	6
Dior3	4
Dance	1
new	1
gong	1
qior5	1
hinn1	1
mouse	1
lih6	6
lih7	4
vuai5	3
Denmark	1
pen1	23
tap7	1
Guinea	1
Marlboroughgah7giam3	1
Nixon	1
Cut7	9
cor4	31
ka	1
hor2紃	1
Ukraine	2
Bit6	4
Bit7	1
Den4	2
ok7	28
zu4	450
qo4	1
Den2	30
guinn1	6
Iann4	2
H1N1	11
guinn4	11
suann	1
a4hun4	1
But7	6
muai5	3
Gim1	63
hinn3	1
Gim4	14
Cu3	12
diong1lam5	1
quat6	12
penn4	2
Heymans	1
Ri2	6
Ri5	8
biann4ong5	1
Or3	11
Takahashi	1
qi2dai5	1
ket6	1
Iu4	5
Iu5	82
Iu2	11
Iu3	1
Iu1	1
sian1	1
ziah6dua3	1
Kong4	2
Kong3	14
Kong1	25
Genève	2
Guan4	21
Guan1	10
Guan3	1
Guan2	253
suan1	114
suan3	17
suan5	5
suan4	253
hok8	1
kat7	2
Sen1	10
Sen2	5
dng4	94
dng5	111
han5vi4	1
Tinn1	8
dng1	62
dng2	11
dng3	7
Lap6	1
Ziam1	7
Denmarkdan1	1
Ziam3	1
nau2	19
nau4	40
jhong4e5	1
zi	1
gu3：	1
si7vok6	1
za	2
Hu3	17
Hu2	4
Hu1	1
Queh6	3
ia4	37
ia5	7
Lun5	29
hueh7	55
hui4	35
di3	153
lor3	8
Dan2	16
Dan3	2
Dan5	132
lor4	72
lor5	128
Zok7	4
Zok6	9
Lan4	1
Lan5	43
Qiok6	22
benn2Gah7	1
Diam4	2
lah6	5
kue1	9
kue3	11
kam1	18
bok67	1
FAPA	2
Gok7Rit6	1
tuh7	3
uuan5	1
cit7	317
hann2	5
iau	1
bng1	3
bau3	1
Zenn4	1
Cet7	2
kiunn2	1
kiunn1	4
gua1	131
gua2	2
gua3	51
gua4	49
bui5	12
Chiang1	1
ik	2
inn5	15
inn7	1
inn2	251
Qui2	2
vang1sior4	1
in	2
Dua3	1
Sue3	5
bai	1
ban	1
cuan1	61
cuan3	21
qiau5	2
cuan5	1
cuan4	3
Talbott	12
Bombardier	4
guaq	1
Qu5	3
Tok6	1
Binn4	7
sue2	1
hor1ruah6	1
ong5zin1	1
ba3	15
ba2	4
ba5	6
ba4	15
bor2	2
Bak7	261
Ciok7	3
Masagiku	1
Goldberg	2
Sin5	20
Sin1	849
Sin3	15
Sin2	3
i41	1
m	2
mue2	14
diam3hue3	1
mue4	8
Ia5	2
hi5	109
giang1	4
F16	1
giang5	38
giang4	1
COPEIA	1
Gun5	5
Dong1	40
Dong2	4
Dong3	1
Dong4	138
Dong5	28
gue	2
gua	1
Iok6	14
Iok7	4
Vun2	1
ko4	94
ko2	1
ko3	60
Vun5	846
Ding2	3
Ding1	40
gok6	1
Ding4	15
Ding5	17
zorh7	4
zorh6	1
Kok7	14
Chhin1	1
bin4	4
gai4	275
dor3	80
Tiau1	1
dor1	129
gai1	155
dor4	118
gu3	13
ong1	13
Siong5	6
ong2	7
ong5	96
ong4	130
Ciu2	13
riam4	48
Zong1	6
ving5siann4	1
Quan5	31
miau2	5
Dior2	1
pok7	52
pok6	12
Be4	1
lai5	1053
bak7diong1lam5	1
lai7	3
lai3	2
lai2	431
tui1	76
tui3	1
Cenn1	8
tui5	6
tui4	2
Yuma．Taru	1
Vong5	1
ci1	10
zia3	73
zia2	13
zia1	39
quan	2
zia4	368
vi5	6
vi4	257
a4o1	1
vi3	1
vi2	138
vuah7	4
Ziann3	1
Gen1	1
Greenland	3
zam7	1
giah6	1
zam4	1
zam3	2
zam2	115
ginq1	1
va5	5
Richardson	1
vin	1
kip7sim1	2
gun2	3
va4	1
qua2	676
pan3	2
qua4	40
Dreyer	1
qiah6	45
zong2？	1
Ruah6	2
dua3	101
dua2	747
o	1
Altria	1
cior3	44
Zit6	48
dau2zor4	1
ziang3	37
iong2	342
tiap6	1
ziang4	49
tiap7	3
Obama1	1
Yoichi	4
ui5genn5	1
hor2beh7	1
uann4	12
viau5	48
uann2	31
Som1	2
Ma4	98
Mui5	16
Ma2	1
Ma1	6
hua3zong1	1
liong4	12
liong5	28
liong2	103
liong3	1
Brown	1
sann1si3	1
guai1	6
guai3	24
Him1	9
Vi1	3
pue5lo4	1
iong2giong5	1
22A	1
beh7gau4	1
de4giu3	1
en5ham5	1
ciorh	1
vi2tng1	1
Formosa	2
t	1
Bing4	4
uan5qi2	1
hiann5	7
in4	140
in3	23
in2	11
hiann1	14
Hiorh6	1
Ni5	18
ben2	94
ben3	164
ben1	39
mng5	88
vok8	1
mng2	36
hang3	1
hak7	1
hak6	511
vun5	518
Gan1	7
siok6	247
hinn2	7
Gan4	12
Ru2	15
Zap6	24
gah7	801
gah6	4
Lip6	382
Clinton1	1
Dau5	28
zu1sia4	1
len5輟	1
suah7	220
in1giann1	1
Shuichi	1
A	5
Kor4	5
a4tih7	1
pua3tat7	1
bin1lang5	1
ciann2	1
Hong5	57
biáu1	1
Hong1	50
ciann4	243
Hong3	3
Dng5	5
vu2	139
vu5	36
Dng1	4
vu7	1
da3	5
zong1	125
sak7	21
Sann1	9
mi5	23
zui3	6
zui2	1
zui1	3
hng5	84
uan3	16
uan2	9
uan1	21
binn4	67
binn3	8
dun2	8
uan5	1109
uan4	30
pior3uann2	1
Al1	1
《iap6	1
du5	42
du4	87
du1	2
sim3	1
ni	1
binn	1
Nakasone	1
cih7	4
cih6	1
at7	2
Quan4	1
Zai1	4
Lausanne	6
zor3gi3	1
Liok6	6
pau4	4
sok	1
van	1
Qiam2	10
gong1to4	1
zuainn2	1
veh6sann1	1
tok7ging3	1
nqi4	1
gong1tang1	1
do2huan2	1
so4	306
so5	1
so3	248
Binn1	1
so1	110
《Washington	1
Gua1	2
Gua3	7
e5？	2
dui2	181
si2beh6	1
Phuan1	2
Inn5	4
bin1	47
《niu4	1
Inn2	70
bin5	44
guan5	117
guan4	211
tiah7	12
guan1	397
Seh6	1
guan3	67
guan2	212
vui4	8
de2bang5	1
zuan1	143
zuan2	1
zuan4	79
zuan5	392
Chun1	1
Nng4	3
Nng2	21
Iap7	1
hor2(	1
Muslim	1
long4zing3	1
Zam2	30
Huan4	4
Huan5	13
Huan2	3
Huan3	4
Huan1	5
Cit7	18
Karl	2
C	7
Rip6	7
guann	1
Sa1	5
liam3	1
liam2	61
Iah6	3
vo1	1
liam5	16
tun4	1
tun5	4
Hap6	16
tun1	7
tun2	5
va2	3
An3Li4	1
dok6sing1	1
Puann1	5
SMAP	1
tiann3	33
cia1﹔	1
tiann1	100
vo4	125
Takayama	1
Tui1	1
He2	3
ziann1	8
le3	2
gui7	1
Ka1	4
Zia3	5
Zia2	16
Zia1	2
kang4	2
gong1qua2	1
Zia4	1
zenn3	11
zenn1	11
cong4	6
cong3	99
ve3	1
cong1	9
zenn4	8
Zip7	1
Ken1	1
tinn1	98
Ziong5	1
tinn2	1
ki4	504
ki5	3
Go1	1
ziam1	66
kik7	65
Go4	6
ziam2	43
ciau5	1
qa5	2
ciau1	130
Karma	2
len5zia2	1
Nia4	4
DNA	5
iann4	149
iann5	39
Dharamsala	3
bior4	13
Dua2	59
huan2	192
huan3	40
huan1	37
Ong1	12
KUSO	2
tan3	44
Ong2	2
Ong5	77
bo4	96
bo3	197
bo2	381
bo1	212
Pok7	12
mue7ze2	1
Sarkozy	1
zng2	2
zng3	2
a4lau2	1
zng1	40
Ko4	20
zng4	1
puan3	4
o4	5
o5	43
o1	163
gann4	24
pin1	2
ng4	2
vat6	2
vat7	68
hor7	1
hor4	289
hor5	154
Te3	2
ui3	213
ui1	38
tam1	18
tam3	20
tam2	1
tam5	12
dth7	1
hua5	69
cai3	55
hua1	16
lor4dam1	1
hua3	222
cuah6	1
ziong4	124
ziong5	37
ziong1	111
ziong2	5
ziong3	424
Tong1	16
Puan5	1
iu5ca5	2
liorh6	1
kai1	327
Iwamoto	2
Ca5	1
siong	3
Nga4	1
riok7	2
zor3dik6	1
Scissors	1
gok7	1126
Dor2	25
Ziunn2	8
Ji2	3
Gai1	3
Dor4	16
Gai3	10
gak6	1
gak7	137
cing1：	1
Pinn2	1
Vor2	1
san3？	1
Vat	1
FORMOSA	1
Ziok7	4
《diong1	3
qik6	18
qik7	3
hat7	18
Jip6	5
diorh6？	1
duann2	91
─	1
Teufel	1
uai1	1
tiau3	42
tiau2	11
tiau1	24
Din3	31
ciunn2lau2	1
Din5	1
tiau5	4
Derek	1
Beauchamp	5
bok6	149
a2	126
a3	103
a1	185
zia24	1
a4	1070
gi1？	1
zenn5	18
Lam5	183
Bi2	4
Bi4	31
ki3zih7	1
duan2	62
duan1	5
hiam1	11
Dino	1
ge4	38
senn3	165
ＭＤ	2
senn1	144
Am3	2
ge2	109
ge3	474
lo5	29
co4	7
co3	2
co1	44
Gok7In3	1
Chong4	1
Shaheen1	1
tiok7	3
Vok7	1
Vok6	19
Bin	2
Mng5	12
“welcome”	1
cok7	1
au7	2
rip6	304
au5	3
au2	634
au3	4
Georgetown	1
au1	19
iah7	36
lo2	386
Hui1	41
cik7	101
Hui3	6
Hui2	8
hong4	104
Hiroshi	1
qi	1
hua3e5	1
hong5	405
qiap7	2
qiap6	378
la3ki3	1
ve4beh6	1
guann1	186
e5quan5	1
se4	33
Illinois	1
sing1hong2	1
ai4	1
ziam5	3
hong2	18
Go3	1
Uat6	9
《zing1	1
su1	445
su2	453
su3	60
su4	348
su5	23
su7	2
ki1	13
Mexico	5
vior2	34
dong7	2
ziam3	30
gang4？	1
siang5	52
siang4	45
Bue1	6
ki3	813
siang1	174
cua2	56
cua3	26
zam2﹔	1
cui3…	1
Siu1	2
Siu2	17
Tuan5	22
liok6	75
Zen5	2
Zen2	1
Zen3	5
En3	3
En1	3
vior4	6
En5	3
En4	1
liau2gi1	2
sann4	1
im4	7
hiorh7	14
hiorh6	10
Zan3	1
Zan1	4
qiu5	2
zok	2
Summers	1
Ziang1	25
Gah7	13
BBS	1
Geithner	3
Giau5	1
hai1	2
hai2	122
hai5	13
sorh7	5
zuinn1	4
sun1	22
ri2sann1	1
tui1u2	1
ni2	21
Qi4	8
pinn1	9
vau2	1
pinn3	89
pinn2	11
Hirofumi	1
Yasukazu	2
vau4	1
Zang3	1
Biau5	3
