00:02:03:09	00:02:05:29	在西元1961年
00:02:05:29	00:02:09:14	台灣發生了三件大事
00:02:09:14	00:02:11:04	就在3月25號
00:02:11:04	00:02:14:18	台灣省新聞處發表一項統計
00:02:14:18	00:02:18:03	全台灣總共有70萬台收音機
00:02:18:03	00:02:19:18	這個意思就是說
00:02:19:18	00:02:21:21	每16個人 就有一台收音機
00:02:21:21	00:02:25:28	在聽薛平貴或是廣播劇
00:02:28:18	00:02:30:16	4月22號
00:02:30:16	00:02:32:23	在西門町旁邊的中華商場
00:02:32:23	00:02:34:12	正式啟用
00:02:34:12	00:02:35:25	成為了台北地區
00:02:35:25	00:02:38:00	最熱鬧的商業中心
00:02:43:10	00:02:45:21	第二件大事
00:02:45:21	00:02:47:20	地點就在員林初農
00:02:47:20	00:02:49:22	行政大樓的中央走道
00:02:49:22	00:02:51:21	時間就在5月12號
00:02:51:21	00:02:55:10	下午的4點05分
00:02:55:10	00:02:56:20	這幅圖不錯 過去看看
00:02:56:20	00:02:58:06	好啊...
00:02:59:14	00:03:01:21	同學 你們知道
00:03:01:21	00:03:03:28	這畫中人是誰嗎
00:03:03:28	00:03:05:24	就是一 二 三
00:03:05:24	00:03:07:26	我們三個啦
00:03:08:26	00:03:10:19	怎麼樣 你不認識我們嗎
00:03:10:19	00:03:13:00	沒關係 我跟你們介紹
00:03:13:00	00:03:16:11	來... 我們就是上港有名聲
00:03:16:11	00:03:17:12	下港有出名
00:03:17:12	00:03:21:02	堂堂百果山下三劍客
00:03:23:29	00:03:25:06	你們不要笑嘛
00:03:25:06	00:03:26:00	我說的都是真的
00:03:26:00	00:03:27:23	來...
00:03:27:23	00:03:28:20	做什麼啦
00:03:28:20	00:03:30:19	來啦 站好...
00:03:30:19	00:03:33:07	張金祥 有聽過吧
00:03:33:07	00:03:35:04	張金祥 就是他啦
00:03:35:04	00:03:37:10	來 鼓掌
00:03:38:12	00:03:40:16	三年八班張金祥同學
00:03:40:16	00:03:43:09	速到校長室報到
00:03:43:09	00:03:45:16	三年八班張金祥同學
00:03:45:16	00:03:49:04	速到校長室報到
00:03:49:04	00:03:50:14	好康的又來了
00:03:50:14	00:03:52:25	學校找你去領獎啦
00:03:52:25	00:03:54:02	壁報都還沒畫完
00:03:54:02	00:03:56:12	就急著要給我記功
00:03:56:12	00:03:57:23	有夠臭屁耶
00:03:57:23	00:04:00:09	學校最厲害的就是你了
00:04:00:09	00:04:02:22	好啦 我先去領獎
00:04:02:22	00:04:03:20	快去啦
00:04:03:20	00:04:07:26	去啦...
00:04:07:26	00:04:10:25	這個臭屁的人就是我
00:04:10:25	00:04:15:00	三年八班張金祥同學
00:04:15:00	00:04:17:04	正準備迎接因為繪畫表現優異
00:04:17:04	00:04:21:04	所得到的第二十五面獎狀
00:04:21:04	00:04:22:25	至少當時的我
00:04:22:25	00:04:24:05	是這麼想的
00:04:36:13	00:04:38:21	報告
00:04:46:03	00:04:49:00	報告校長 您找我
00:04:51:25	00:04:53:19	趕快跟校長道歉
00:04:53:19	00:04:56:03	求校長再給你一次機會
00:04:56:03	00:04:57:29	讓你參加補考
00:04:57:29	00:05:00:28	要補考什麼
00:05:00:28	00:05:03:17	你七科裡面有五科不及格
00:05:03:17	00:05:09:10	你不參加補考 是想留級嗎
00:05:09:10	00:05:11:21	校長 我這個不成材的孩子
00:05:11:21	00:05:13:23	讓您這麼操心
00:05:13:23	00:05:15:10	實在很對不起
00:05:15:10	00:05:16:14	對不起
00:05:16:14	00:05:18:14	張先生
00:05:18:14	00:05:19:29	張金祥
00:05:19:29	00:05:21:12	下學期學校要改制
00:05:21:12	00:05:23:15	升格變高農
00:05:23:15	00:05:26:13	你要留級也沒有機會
00:05:26:13	00:05:28:00	如果補考不過
00:05:28:00	00:05:29:26	變流浪學生
00:05:29:26	00:05:31:11	沒有一間學校會收留你
00:05:31:11	00:05:33:10	知道嗎
00:05:37:07	00:05:40:04	校長 對不起
00:05:40:04	00:05:42:27	小孩子不懂事
00:05:42:27	00:05:44:17	求校長再給他一次機會
00:05:44:17	00:05:46:24	讓他參加補考
00:05:46:24	00:05:50:29	校長拜託 校長
00:05:53:17	00:05:56:24	還站在那邊做什麼
00:05:56:24	00:05:58:07	校長
00:05:58:07	00:06:00:18	拜託
00:06:09:25	00:06:13:03	校長真的太沒有人情味了
00:06:13:03	00:06:14:06	也不想想
00:06:14:06	00:06:16:28	我幫學校畫了三年的壁報
00:06:16:28	00:06:19:08	大小功記了一堆
00:06:19:08	00:06:23:09	想不到還換不到一張畢業證書
00:06:25:26	00:06:28:06	就算初農沒辦法畢業
00:06:28:06	00:06:29:27	我也沒差啊
00:06:29:27	00:06:32:01	我也是有辦法去找工作
00:06:32:01	00:06:34:17	我可以去戲院畫看板啊
00:06:34:17	00:06:36:04	那張畢業證書對我來說
00:06:36:04	00:06:39:05	有或沒有都沒差啊
00:06:52:21	00:06:54:20	在這裡等我
00:07:07:27	00:07:11:11	不好好讀書...
00:07:11:11	00:07:12:22	老闆 你不要這樣啦
00:07:12:22	00:07:15:15	不要啦
00:07:16:08	00:07:17:11	沒你的事
00:07:17:11	00:07:19:11	阿虎 他在學校很乖啊
00:07:19:11	00:07:20:29	有話好好說嘛
00:07:20:29	00:07:21:25	好好說嘛
00:07:21:25	00:07:23:02	不要這樣打他啦
00:07:23:02	00:07:24:22	阿祥啊 快跟你爸認錯
00:07:24:22	00:07:26:06	說你以後不敢了
00:07:26:06	00:07:27:05	跟你爸認錯
00:07:27:05	00:07:29:13	老闆娘... 快出來啦 老闆娘
00:07:29:13	00:07:31:11	跟你爸說你以後不敢了 阿祥
00:07:31:11	00:07:32:15	快點
00:07:32:15	00:07:34:01	阿虎 孩子長大了
00:07:34:01	00:07:36:28	用說的 不要用打的啦
00:07:36:28	00:07:37:29	回來
00:07:37:29	00:07:39:13	阿虎
00:07:39:13	00:07:40:25	站好
00:07:42:29	00:07:44:24	不知道反省
00:07:44:24	00:07:46:07	還跟我嗆聲
00:07:46:07	00:07:48:19	要去戲院畫看板
00:07:48:19	00:07:50:16	會畫圖就了不起嗎
00:07:50:16	00:07:51:23	不好好讀書
00:07:51:23	00:07:55:04	想要靠畫圖賺錢
00:07:55:04	00:07:56:06	不要再打了啦
00:07:56:06	00:07:57:00	我要把你打醒
00:07:57:00	00:07:59:11	阿虎 不要再打了...
00:08:27:04	00:08:28:19	老闆娘 我們吃飽了
00:08:28:19	00:08:30:21	你們快來吃喔
00:08:32:04	00:08:35:29	世杰 錦花 快來吃飯 乖
00:08:36:18	00:08:38:25	哥哥呢
00:08:38:25	00:08:40:10	小孩子不要問那麼多啦
